위도,경도,정류장명
35.18887402,129.0779096,연제자동차매매단지
35.19171282,129.0869208,동래세무서
35.19688998,129.0798275,교대역
35.19671176,129.0799357,교대역
35.18689781,129.0829314,연산교차로
35.18571824,129.0832031,연산교차로
35.18569647,129.0833257,연산역
35.18373448,129.0826323,반도보라아파트
35.18396183,129.082535,반도보라아파트
35.18530036,129.0819929,연산역4번출구
35.18654069,129.0805711,연산역
35.18145719,129.0787145,아람빌딩
35.17445708,129.0872233,신리삼거리
35.17448779,129.0868833,신리삼거리
35.17485172,129.0859052,여동승내과
35.17507945,129.0866305,신리삼거리
35.17598828,129.0862482,연산시장.물만골역
35.17929123,129.0848775,연산초등학교
35.17665039,129.0855748,연산시장.물만골역
35.17647059,129.0856425,연산시장
35.18573907,129.1007662,부산경상대학교정문
35.18574896,129.0974727,부산경상대학교서문
35.18597903,129.0943643,현대아파트
35.18574365,129.0943101,현대아파트
35.18549707,129.0976245,부산경상대학교서문
35.18549987,129.1007425,부산경상대학교정문
35.18629213,129.0804726,연산역
35.18828694,129.0751889,거제역
35.18139886,129.074055,시청공원등대앞
35.18572363,129.0887002,연산중학교
35.18550177,129.0881516,연산중학교
35.21933129,129.0798138,온천장
35.21849695,129.0850334,온천장역
35.21711741,129.0833462,온천장아스타아파트
35.20391023,129.0781775,동래역
35.2029616,129.0778045,내성중학교
35.20342978,129.0777942,내성중학교
35.20606138,129.078175,동래역
35.20548567,129.0781649,동래역1번출구
35.20415319,129.0870825,동래시장
35.19786939,129.0656801,사직역
35.19640075,129.0651848,사직운동장
35.19643219,129.0652718,사직운동장
35.19610719,129.0622293,사직야구장
35.19612184,129.0623328,사직야구장
35.20074879,129.0742868,새마을금고
35.20729098,129.1024578,명장2동주민센터
35.20643025,129.1007585,조양아파트
35.20789963,129.1036509,명장정수사업소
35.20035625,129.1046817,진흥상가
35.20192945,129.1044318,안락초등학교
35.20454531,129.1047476,명장1동행정복지센터
35.19937282,129.1047823,부산은행
35.19915664,129.107798,안락병원
35.20027793,129.1014266,1080안경점
35.19993693,129.1029686,삼성아파트
35.19610616,129.109786,충렬주유소
35.20474462,129.0846941,동래구청
35.20497578,129.0842614,동래구청
35.20642164,129.0831415,구 부산지방기상청
35.1978765,129.0976026,안락교차로
35.19467198,129.098036,벽산아파트
35.19839946,129.0969532,안락교차로
35.19725244,129.1011067,안락동우체국.동해선안락역
35.19693731,129.1021385,안락동우체국.동해선안락역
35.19724267,129.0999503,안락동우체국.동해선안락역
35.19697939,129.1012723,안락동우체국.동해선안락역
35.19203014,129.1054871,동부산아이존빌아파트
35.19130678,129.106746,안락경동아파트
35.19229152,129.1049559,동부산아이존빌아파트
35.19160416,129.1062027,안락경동아파트
35.19356124,129.1019017,강변뜨란채입구
35.19313706,129.1031775,월마트
35.19548336,129.1027821,강변뜨란채아파트
35.192971,129.1030647,월마트
35.19384964,129.100952,강변뜨란채아파트
35.19399013,129.1000716,한성기린아파트
35.19748083,129.0953916,동래봉생병원
35.19713327,129.0954266,동래봉생병원
35.19495525,129.0929271,우성아파트
35.19494016,129.0924886,우성아파트
35.19468134,129.0914044,낙민유앤아이아파트
35.1936449,129.1007095,강변뜨란채아파트
35.19360355,129.1009143,강변뜨란채아파트
35.19389168,129.099378,한성기린아파트
35.19335608,129.0985965,안진초등학교
35.19432011,129.0980336,벽산한신아파트
35.19448268,129.0941321,안민초등학교
35.19443479,129.0960559,중앙하이츠아파트
35.19759833,129.0978867,안락교차로
35.21827602,129.0824119,온천장
35.21816623,129.0823879,온천예식장
35.20601547,129.1020878,명장조양맨션(명장역)
35.20545826,129.1030304,명장1치안센터
35.20599099,129.1028188,명장조양맨션(명장역)
35.20475223,129.105196,명장1동행정복지센터
35.20453034,129.1077375,명장시장
