시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 남구 대연동,852-11,852,11,sk빌원룸,월세,19.22,202602,"1,000",42,2,2003,부산광역시,남구,대연동
부산광역시 남구 대연동,1726-7,1726,7,이브빌,월세,18.88,202602,500,52,5,2011,부산광역시,남구,대연동
부산광역시 서구 암남동,24-45,24,45,양지빌,월세,16.34,202602,"1,500",32,5,2003,부산광역시,서구,암남동
부산광역시 금정구 부곡동,64-19,64,19,로얄캐슬,월세,15.2,202602,500,30,7,2013,부산광역시,금정구,부곡동
부산광역시 부산진구 전포동,355-10,355,10,영원렉스빌,월세,15.99,202602,500,36,5,2013,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,308-2,308,2,유한빌,월세,13.845,202602,500,29,5,2011,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,657-3,657,3,에비뉴엘2,월세,17.75,202602,"1,000",52,10,2020,부산광역시,부산진구,전포동
부산광역시 중구 대청동2가,8-4,8,4,로하스,월세,18.1,202602,500,30,5,2015,부산광역시,중구,대청동2가
부산광역시 남구 대연동,569-24,569,24,오퍼스4,월세,15.13,202602,500,32,4,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,1721-8,1721,8,행복하우스,월세,16.4475,202602,500,36,2,2013,부산광역시,남구,대연동
부산광역시 금정구 남산동,120-15,120,15,THECASANUOVO,월세,14.049,202602,"1,500",38,12,2022,부산광역시,금정구,남산동
부산광역시 사하구 하단동,487-3,487,3,유진빌,월세,15.8,202602,300,34,4,2011,부산광역시,사하구,하단동
부산광역시 사하구 하단동,496-22,496,22,동아파크,월세,13.02,202602,500,41,3,2021,부산광역시,사하구,하단동
부산광역시 사하구 하단동,899-6,899,6,그린힐,월세,14.57,202602,300,29,2,2013,부산광역시,사하구,하단동
부산광역시 남구 대연동,1737-1,1737,1,초원타워,월세,17.46,202602,500,32,4,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,1726-7,1726,7,이브빌,월세,13.15,202602,500,37,4,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,1722-31,1722,31,민들레,월세,15.68,202602,500,27,5,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,638-9,638,9,세인트루이스,월세,16.21,202602,"2,000",34,3,2019,부산광역시,남구,대연동
부산광역시 남구 대연동,889-1,889,1,타임펠리스,월세,17.32,202602,"1,000",28,11,2020,부산광역시,남구,대연동
부산광역시 남구 대연동,573-19,573,19,예림,월세,17.075,202602,500,30,4,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,34-26,34,26,대연인텔리움,월세,15.4075,202602,300,29,5,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,1747-10,1747,10,비젼하이빌,월세,12.12,202602,500,38,3,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,50-6,50,6,행운스위티,월세,29.16,202602,500,38,5,2011,부산광역시,남구,대연동
부산광역시 연제구 거제동,89-24,89,24,샘터,월세,12.68,202602,500,33,2,2011,부산광역시,연제구,거제동
부산광역시 해운대구 우동,957-51,957,51,(957-51),월세,24.435,202602,300,35,4,2012,부산광역시,해운대구,우동
부산광역시 북구 구포동,1060-489,1060,489,그린나래,월세,16.96,202602,800,40,3,2015,부산광역시,북구,구포동
부산광역시 부산진구 가야동,50-13,50,13,루미프라다,월세,18.69,202602,"2,800",48,8,2021,부산광역시,부산진구,가야동
부산광역시 부산진구 부전동,408-38,408,38,더원펠리스A동,전세,24.26,202602,"6,500",0,6,2011,부산광역시,부산진구,부전동
부산광역시 북구 덕천동,331-14,331,14,정우빌,월세,15.74,202602,200,20,4,2011,부산광역시,북구,덕천동
부산광역시 부산진구 개금동,177-22,177,22,햇살가득,월세,13.46,202602,300,25,3,2014,부산광역시,부산진구,개금동
부산광역시 서구 토성동2가,2-7,2,7,짐아트빌,월세,12.425,202602,500,40,5,2014,부산광역시,서구,토성동2가
