시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러
부산광역시 사상구 감전동,214-2,214,2,아젤리움,월세,20.16,202509,300,35,3,2013,부산광역시,사상구,감전동,0,2653010500,2653010500002140002,128.99134221535905,35.15650288407177,parcel_address,
부산광역시 수영구 남천동,17-12,17,12,그린빌리지,월세,19.58,202509,500,40,2,2013,부산광역시,수영구,남천동,0,2650010500,2650010500000170012,129.10947284037945,35.14227263079216,parcel_address,
부산광역시 연제구 거제동,246-2,246,2,유진빌,월세,16.3,202509,500,30,4,2014,부산광역시,연제구,거제동,0,2647010100,2647010100002460002,129.076819312601,35.196509379236076,parcel_address,
부산광역시 금정구 장전동,412-6,412,6,테라101,월세,16.45,202509,"4,000",21,5,2018,부산광역시,금정구,장전동,0,2641010800,2641010800004120006,129.0884489757336,35.23194607995325,parcel_address,
부산광역시 사하구 하단동,900-11,900,11,하모니하우스,전세,18.335,202509,"5,100",0,7,2018,부산광역시,사하구,하단동,0,2638010300,2638010300009000011,128.96017060145357,35.10427777106341,parcel_address,
부산광역시 남구 대연동,1737-4,1737,4,파라빌리지,월세,18.74,202509,500,39,5,2013,부산광역시,남구,대연동,0,2629010600,2629010600017370004,129.09294640564707,35.13365238510586,parcel_address,
부산광역시 부산진구 개금동,171-64,171,64,골드캐슬B동,월세,28.3,202509,"2,000",43,6,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100001710064,129.02265843471315,35.15112697304703,parcel_address,
부산광역시 서구 부용동2가,60-1,60,1,부용빌라비,월세,21.73,202509,200,38,5,2003,부산광역시,서구,부용동2가,0,2614010800,2614010800000600001,129.01843421828949,35.10605483759394,parcel_address,
부산광역시 중구 영주동,585-5,585,5,GAYAVILLE,월세,16.15,202509,500,40,2,2015,부산광역시,중구,영주동,0,2611010100,2611010100005850005,129.03691307299732,35.11135687025194,parcel_address,
부산광역시 부산진구 가야동,444-22,444,22,(444-22),월세,13.839,202509,300,33,5,2011,부산광역시,부산진구,가야동,0,2623011000,2623011000004440022,129.03318880311986,35.151678012310285,parcel_address,
부산광역시 부산진구 가야동,361-187,361,187,한은원룸102동,월세,27.67,202509,300,24,4,2006,부산광역시,부산진구,가야동,0,2623011000,2623011000003610187,129.03954797230742,35.15260251907246,parcel_address,
부산광역시 부산진구 전포동,340-12,340,12,다이안빌,월세,18.28,202509,300,40,5,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003400012,129.0662536230144,35.15429726842342,parcel_address,
부산광역시 해운대구 재송동,1080-1,1080,1,토즈빌,월세,16.84,202509,300,35,3,2012,부산광역시,해운대구,재송동,0,2635010400,2635010400010800001,129.12341802666373,35.18749904315817,parcel_address,
부산광역시 부산진구 부전동,510-3,510,3,부일마이우스서면,월세,17.53,202509,"1,000",36,7,2013,부산광역시,부산진구,부전동,0,2623010300,2623010300005100003,129.05361874458305,35.15662054994874,parcel_address,
부산광역시 부산진구 양정동,355-45,355,45,가우디움,월세,15.75,202509,300,32,2,2012,부산광역시,부산진구,양정동,0,2623010100,2623010100003550045,129.0712045598674,35.1706124422282,parcel_address,
부산광역시 사하구 하단동,870-64,870,64,피엔제이하우스,월세,18.39,202509,500,43,8,2019,부산광역시,사하구,하단동,0,2638010300,2638010300008700064,128.95967327698327,35.1082837015825,parcel_address,
부산광역시 남구 용호동,41-2,41,2,로하스,월세,27.73,202509,0,35,2,2014,부산광역시,남구,용호동,0,2629010700,2629010700000410002,129.1094821279563,35.12403400663467,parcel_address,
부산광역시 남구 대연동,635-21,635,21,세인트로렌,월세,14.24,202509,"1,000",46,5,2024,부산광역시,남구,대연동,0,2629010600,2629010600006350021,129.09732627876048,35.1326404418288,parcel_address,
부산광역시 남구 대연동,897-3,897,3,성산비바,월세,13.9,202509,500,36,5,2010,부산광역시,남구,대연동,0,2629010600,2629010600008970003,129.0891835957958,35.13319928941807,parcel_address,
부산광역시 남구 대연동,1481-7,1481,7,제이제이Ⅱ,월세,25.845,202509,"2,000",54,5,2020,부산광역시,남구,대연동,0,2629010600,2629010600014810007,129.09053839061548,35.14089100334192,parcel_address,
부산광역시 수영구 수영동,453-15,453,15,스카이빌,월세,18.55,202509,500,29,4,2011,부산광역시,수영구,수영동,0,2650010200,2650010200004530015,129.1130817378915,35.169624857165346,parcel_address,
부산광역시 수영구 광안동,342,342,0,광안캐슬(342-0),전세,17.37,202509,"6,500",0,2,2012,부산광역시,수영구,광안동,0,2650010400,2650010400003420000,129.11224830822223,35.152159241915875,parcel_address,
부산광역시 수영구 광안동,694-9,694,9,광안메리움,전세,29.94,202509,"14,000",0,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400006940009,129.11316119238336,35.163658256613715,parcel_address,
부산광역시 수영구 광안동,88-27,88,27,위너스빌,월세,15.59,202509,200,32,4,2010,부산광역시,수영구,광안동,0,2650010400,2650010400000880027,129.11683977106208,35.16607894949141,parcel_address,
부산광역시 수영구 광안동,122-26,122,26,포레하우스,월세,15.69,202509,"1,000",40,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001220026,129.11720639018222,35.159653793853984,parcel_address,
부산광역시 수영구 광안동,122-8,122,8,더원빌,월세,18.24,202509,"2,000",31,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001220008,129.11797259862954,35.159505762898945,parcel_address,
부산광역시 수영구 광안동,186-5,186,5,부성베스트빌라,월세,24.84,202509,300,27,3,2002,부산광역시,수영구,광안동,0,2650010400,2650010400001860005,129.11228074844752,35.15076288422142,parcel_address,
부산광역시 수영구 광안동,101-22,101,22,골든하우스,월세,14.235,202509,100,24,5,2010,부산광역시,수영구,광안동,0,2650010400,2650010400001010022,129.1152583982186,35.16317989341542,parcel_address,
부산광역시 연제구 연산동,715-7,715,7,유림스카이,월세,18.69,202509,300,50,2,2018,부산광역시,연제구,연산동,0,2647010200,2647010200007150007,129.08208966950474,35.18218686363282,parcel_address,
부산광역시 수영구 광안동,1075-20,1075,20,비발디,월세,17.85,202509,300,30,2,2011,부산광역시,수영구,광안동,0,2650010400,2650010400010750020,129.11355049966969,35.16634451278475,parcel_address,
부산광역시 수영구 광안동,120-100,120,100,조은집,전세,14.92,202509,"6,000",0,2,2009,부산광역시,수영구,광안동,0,2650010400,2650010400001200100,129.11457788816836,35.159830263176346,parcel_address,
부산광역시 수영구 광안동,112-1,112,1,두성제니스,월세,18.24,202509,300,39,2,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001120001,129.11648172084932,35.16252158758625,parcel_address,
부산광역시 수영구 광안동,1055-111,1055,111,아이콘9차,월세,17.099,202509,"3,000",40,4,2022,부산광역시,수영구,광안동,0,2650010400,2650010400010550111,129.11054360994825,35.16597949671125,parcel_address,
부산광역시 수영구 광안동,112-1,112,1,두성제니스,월세,18.24,202509,300,39,2,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001120001,129.11648172084932,35.16252158758625,parcel_address,
부산광역시 수영구 광안동,156-18,156,18,보람시티빌,월세,16.885,202509,300,33,3,2012,부산광역시,수영구,광안동,0,2650010400,2650010400001560018,129.11861171531024,35.157966292261285,parcel_address,
부산광역시 수영구 광안동,103-16,103,16,명성콜렉트1,월세,16.585,202509,"1,000",37,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030016,129.11696254072075,35.163190769381536,parcel_address,
부산광역시 수영구 광안동,97-16,97,16,풀하우스,월세,17.015,202509,300,32,5,2009,부산광역시,수영구,광안동,0,2650010400,2650010400000970016,129.11608479983778,35.164902615957324,parcel_address,
부산광역시 사상구 주례동,79-5,79,5,한솔빌,월세,12.38,202509,300,25,5,2013,부산광역시,사상구,주례동,0,2653010600,2653010600000790005,129.01225189184714,35.14860067435433,parcel_address,
부산광역시 연제구 연산동,1405-38,1405,38,하이트빌A동,월세,16.28,202509,500,18,4,2012,부산광역시,연제구,연산동,0,2647010200,2647010200014050038,129.07660615615697,35.18418009198563,parcel_address,
부산광역시 연제구 연산동,621-2,621,2,연제베스트빌,월세,18.55,202509,"1,000",30,5,2012,부산광역시,연제구,연산동,0,2647010200,2647010200006210002,129.08641975795751,35.18699168746559,parcel_address,
부산광역시 연제구 연산동,1320-15,1320,15,유림에이클래스,월세,16.5,202509,100,28,2,2011,부산광역시,연제구,연산동,0,2647010200,2647010200013200015,129.08060872507423,35.18089140888935,parcel_address,
부산광역시 기장군 기장읍 대라리,148-20,148,20,솔바람하우스,월세,24.03,202509,400,40,2,2013,부산광역시,기장군,기장읍,0,2671025000,2671025000001480020,129.21470856627943,35.23876532632187,parcel_address,
