법정동코드,법정동명,폐지여부
2126000000,부산직할시 동래구,폐지
2126000100,부산직할시 동래구 금성동,폐지
2126000200,부산직할시 동래구 서동,폐지
2126000300,부산직할시 동래구 금사동,폐지
2126000400,부산직할시 동래구 회동,폐지
2126000500,부산직할시 동래구 오륜동,폐지
2126000600,부산직할시 동래구 부곡동,폐지
2126000700,부산직할시 동래구 장전동,폐지
2126000800,부산직할시 동래구 선동,폐지
2126000900,부산직할시 동래구 두구동,폐지
2126001000,부산직할시 동래구 노포동,폐지
2126001100,부산직할시 동래구 청용동,폐지
2126001200,부산직할시 동래구 남산동,폐지
2126001300,부산직할시 동래구 구서동,폐지
2126001400,부산직할시 동래구 우동,폐지
2126001500,부산직할시 동래구 중동,폐지
2126001600,부산직할시 동래구 좌동,폐지
2126001700,부산직할시 동래구 송정동,폐지
2126001800,부산직할시 동래구 반여동,폐지
2126001900,부산직할시 동래구 석대동,폐지
2126002000,부산직할시 동래구 반송동,폐지
2126002100,부산직할시 동래구 재송동,폐지
2126002200,부산직할시 동래구 수영동,폐지
2126002300,부산직할시 동래구 동상동,폐지
2126010100,부산직할시 동래구 명장동,폐지
2126010200,부산직할시 동래구 안락동,폐지
2126010300,부산직할시 동래구 칠산동,폐지
2126010400,부산직할시 동래구 낙민동,폐지
2126010500,부산직할시 동래구 복천동,폐지
2126010600,부산직할시 동래구 수안동,폐지
2126010700,부산직할시 동래구 명륜동,폐지
2126010800,부산직할시 동래구 온천동,폐지
2126010900,부산직할시 동래구 사직동,폐지
2126011000,부산직할시 동래구 거제동,폐지
2126011100,부산직할시 동래구 연산동,폐지
2126090100,부산직할시 동래구 수민동,폐지
2126090200,부산직할시 동래구 복산동,폐지
2126090300,부산직할시 동래구 명륜1동,폐지
2126090400,부산직할시 동래구 명륜2동,폐지
2126090500,부산직할시 동래구 온천1동,폐지
2126090600,부산직할시 동래구 온천2동,폐지
2126090700,부산직할시 동래구 온천3동,폐지
2126090800,부산직할시 동래구 사직1동,폐지
2126090900,부산직할시 동래구 사직2동,폐지
2126091000,부산직할시 동래구 사직3동,폐지
2126091100,부산직할시 동래구 거제1동,폐지
2126091200,부산직할시 동래구 거제2동,폐지
2126091300,부산직할시 동래구 거제3동,폐지
2126091400,부산직할시 동래구 거제4동,폐지
2126091500,부산직할시 동래구 연산1동,폐지
2126091600,부산직할시 동래구 연산2동,폐지
2126091700,부산직할시 동래구 연산3동,폐지
2126091800,부산직할시 동래구 연산4동,폐지
2126091900,부산직할시 동래구 연산5동,폐지
2126092000,부산직할시 동래구 연산6동,폐지
2126092100,부산직할시 동래구 연산7동,폐지
2126092200,부산직할시 동래구 연산8동,폐지
2126092300,부산직할시 동래구 연산9동,폐지
2126092400,부산직할시 동래구 안락1동,폐지
2126092500,부산직할시 동래구 안락2동,폐지
2129000000,부산직할시 남구,폐지
2129000100,부산직할시 남구 적기동1가,폐지
2129000200,부산직할시 남구 적기동2가,폐지
2129000300,부산직할시 남구 적기동3가,폐지
2129000400,부산직할시 남구 적기동4가,폐지
2129000500,부산직할시 남구 적기동5가,폐지
2129000600,부산직할시 남구 재송동,폐지
2129000700,부산직할시 남구 범일동,폐지
2129000800,부산직할시 남구 범천동,폐지
2129010100,부산직할시 남구 망미동,폐지
2129010200,부산직할시 남구 수영동,폐지
2129010300,부산직할시 남구 민락동,폐지
2129010400,부산직할시 남구 광안동,폐지
2129010500,부산직할시 남구 남천동,폐지
2129010600,부산직할시 남구 대연동,폐지
2129010700,부산직할시 남구 용호동,폐지
2129010800,부산직할시 남구 용당동,폐지
2129010900,부산직할시 남구 문현동,폐지
2129011000,부산직할시 남구 우암동,폐지
2129011100,부산직할시 남구 감만동,폐지
2129090100,부산직할시 남구 대연1동,폐지
2129090200,부산직할시 남구 대연2동,폐지
2129090300,부산직할시 남구 대연3동,폐지
2129090400,부산직할시 남구 대연4동,폐지
2129090500,부산직할시 남구 대연5동,폐지
2129090600,부산직할시 남구 대연6동,폐지
2129090700,부산직할시 남구 용호1동,폐지
2129090800,부산직할시 남구 용호2동,폐지
2129090900,부산직할시 남구 용호3동,폐지
2129091000,부산직할시 남구 용호4동,폐지
2129091100,부산직할시 남구 감만1동,폐지
2129091200,부산직할시 남구 감만2동,폐지
2129091300,부산직할시 남구 우암1동,폐지
2129091400,부산직할시 남구 우암2동,폐지
2129091500,부산직할시 남구 남천1동,폐지
2129091600,부산직할시 남구 남천2동,폐지
2129091700,부산직할시 남구 문현1동,폐지
2129091800,부산직할시 남구 문현2동,폐지
2129091900,부산직할시 남구 문현3동,폐지
2129092000,부산직할시 남구 문현4동,폐지
2129092100,부산직할시 남구 문현5동,폐지
2129092200,부산직할시 남구 망미1동,폐지
2129092300,부산직할시 남구 망미2동,폐지
2129092400,부산직할시 남구 광안1동,폐지
2129092500,부산직할시 남구 광안2동,폐지
2129092600,부산직할시 남구 광안3동,폐지
2129092700,부산직할시 남구 광안4동,폐지
2132000000,부산직할시 북구,폐지
2132000100,부산직할시 북구 출두리,폐지
2132000200,부산직할시 북구 대지리,폐지
2132000300,부산직할시 북구 사덕리,폐지
2132000400,부산직할시 북구 평강리,폐지
2132000500,부산직할시 북구 울만리,폐지
2132000600,부산직할시 북구 소덕리,폐지
2132000700,부산직할시 북구 덕두리,폐지
2132000800,부산직할시 북구 도도리,폐지
2132000900,부산직할시 북구 맥도리,폐지
2132001000,부산직할시 북구 사두리,폐지
2132001100,부산직할시 북구 대사리,폐지
2132001200,부산직할시 북구 상덕리,폐지
2132001300,부산직할시 북구 북정리,폐지
2132001400,부산직할시 북구 제도리,폐지
2132001500,부산직할시 북구 진목리,폐지
2132001600,부산직할시 북구 동리,폐지
2132001700,부산직할시 북구 조동리,폐지
2132001800,부산직할시 북구 중리,폐지
2132001900,부산직할시 북구 신전리,폐지
2132002000,부산직할시 북구 평성리,폐지
2132010100,부산직할시 북구 금곡동,폐지
2132010200,부산직할시 북구 화명동,폐지
2132010300,부산직할시 북구 만덕동,폐지
2132010400,부산직할시 북구 덕천동,폐지
2132010500,부산직할시 북구 구포동,폐지
2132010600,부산직할시 북구 삼락동,폐지
2132010700,부산직할시 북구 모라동,폐지
2132010800,부산직할시 북구 덕포동,폐지
2132010900,부산직할시 북구 괘법동,폐지
2132011000,부산직할시 북구 감전동,폐지
2132011100,부산직할시 북구 주례동,폐지
2132011200,부산직할시 북구 학장동,폐지
2132011300,부산직할시 북구 엄궁동,폐지
2132011400,부산직할시 북구 대저1동,폐지
2132011500,부산직할시 북구 대저2동,폐지
2132011600,부산직할시 북구 강동동,폐지
2132011700,부산직할시 북구 명지동,폐지
2132090100,부산직할시 북구 구포1동,폐지
2132090200,부산직할시 북구 구포2동,폐지
2132090300,부산직할시 북구 덕천1동,폐지
2132090400,부산직할시 북구 덕천2동,폐지
2132090500,부산직할시 북구 덕포1동,폐지
2132090600,부산직할시 북구 덕포2동,폐지
2132090700,부산직할시 북구 감전1동,폐지
2132090800,부산직할시 북구 감전2동,폐지
2132090900,부산직할시 북구 주례1동,폐지
2132091000,부산직할시 북구 주례2동,폐지
2135000000,부산직할시 해운대구,폐지
2135010100,부산직할시 해운대구 반송동,폐지
2135010200,부산직할시 해운대구 석대동,폐지
2135010300,부산직할시 해운대구 반여동,폐지
2135010400,부산직할시 해운대구 재송동,폐지
2135010500,부산직할시 해운대구 우동,폐지
2135010600,부산직할시 해운대구 중동,폐지
2135010700,부산직할시 해운대구 좌동,폐지
2135010800,부산직할시 해운대구 송정동,폐지
2135090100,부산직할시 해운대구 우1동,폐지
2135090200,부산직할시 해운대구 우2동,폐지
2135090300,부산직할시 해운대구 중1동,폐지
2135090400,부산직할시 해운대구 중2동,폐지
2135090500,부산직할시 해운대구 반여1동,폐지
2135090600,부산직할시 해운대구 반여2동,폐지
2135090700,부산직할시 해운대구 반여3동,폐지
2135090800,부산직할시 해운대구 반송1동,폐지
2135090900,부산직할시 해운대구 반송2동,폐지
2135091000,부산직할시 해운대구 반송3동,폐지
2138000000,부산직할시 사하구,폐지
2138010100,부산직할시 사하구 괴정동,폐지
2138010200,부산직할시 사하구 당리동,폐지
2138010300,부산직할시 사하구 하단동,폐지
2138010400,부산직할시 사하구 신평동,폐지
2138010500,부산직할시 사하구 장림동,폐지
2138010600,부산직할시 사하구 다대동,폐지
2138010700,부산직할시 사하구 구평동,폐지
2138010800,부산직할시 사하구 감천동,폐지
2138090100,부산직할시 사하구 괴정1동,폐지
2138090200,부산직할시 사하구 괴정2동,폐지
2138090300,부산직할시 사하구 괴정3동,폐지
2138090400,부산직할시 사하구 괴정4동,폐지
2138090500,부산직할시 사하구 장림1동,폐지
2138090600,부산직할시 사하구 장림2동,폐지
2138090700,부산직할시 사하구 감천1동,폐지
2138090800,부산직할시 사하구 감천2동,폐지
2141000000,부산직할시 금정구,폐지
2141010100,부산직할시 금정구 두구동,폐지
2141010200,부산직할시 금정구 노포동,폐지
2141010300,부산직할시 금정구 청룡동,폐지
2141010400,부산직할시 금정구 남산동,폐지
2141010500,부산직할시 금정구 선동,폐지
2141010600,부산직할시 금정구 오륜동,폐지
2141010700,부산직할시 금정구 구서동,폐지
2141010800,부산직할시 금정구 장전동,폐지
2141010900,부산직할시 금정구 부곡동,폐지
2141011000,부산직할시 금정구 서동,폐지
2141011100,부산직할시 금정구 금사동,폐지
2141011200,부산직할시 금정구 회동동,폐지
2141011300,부산직할시 금정구 금성동,폐지
2141090100,부산직할시 금정구 서1동,폐지
2141090200,부산직할시 금정구 서2동,폐지
2141090300,부산직할시 금정구 서3동,폐지
2141090400,부산직할시 금정구 서4동,폐지
2141090500,부산직할시 금정구 부곡1동,폐지
2141090600,부산직할시 금정구 부곡2동,폐지
2141090700,부산직할시 금정구 부곡3동,폐지
2141090800,부산직할시 금정구 장전1동,폐지
2141090900,부산직할시 금정구 장전2동,폐지
2141091000,부산직할시 금정구 장전3동,폐지
2141091100,부산직할시 금정구 청용동,폐지
2141091200,부산직할시 금정구 구서1동,폐지
2141091300,부산직할시 금정구 구서2동,폐지
2144000000,부산직할시 강서구,폐지
2144010100,부산직할시 강서구 대저일동,폐지
2144010200,부산직할시 강서구 대저이동,폐지
2144010300,부산직할시 강서구 강동동,폐지
2144010400,부산직할시 강서구 명지동,폐지
2144010500,부산직할시 강서구 죽림동,폐지
2144010600,부산직할시 강서구 식만동,폐지
2144010700,부산직할시 강서구 죽동동,폐지
2144010800,부산직할시 강서구 봉림동,폐지
2144010900,부산직할시 강서구 송정동,폐지
2144011000,부산직할시 강서구 화전동,폐지
2144011100,부산직할시 강서구 녹산동,폐지
2144011200,부산직할시 강서구 생곡동,폐지
2144011300,부산직할시 강서구 구랑동,폐지
2144011400,부산직할시 강서구 지사동,폐지
2144011500,부산직할시 강서구 미음동,폐지
2144011600,부산직할시 강서구 범방동,폐지
2144011700,부산직할시 강서구 신호동,폐지
2144011800,부산직할시 강서구 동선동,폐지
2144011900,부산직할시 강서구 성북동,폐지
2144012000,부산직할시 강서구 눌차동,폐지
2144012100,부산직할시 강서구 천성동,폐지
2144012200,부산직할시 강서구 대항동,폐지
2144090100,부산직할시 강서구 가락동,폐지
2144090200,부산직할시 강서구 천가동,폐지
2600000000,부산광역시,존재
2611000000,부산광역시 중구,존재
2611010100,부산광역시 중구 영주동,존재
2611010200,부산광역시 중구 대창동1가,존재
2611010300,부산광역시 중구 대창동2가,존재
2611010400,부산광역시 중구 중앙동1가,존재
2611010500,부산광역시 중구 중앙동2가,존재
2611010600,부산광역시 중구 중앙동3가,존재
2611010700,부산광역시 중구 중앙동4가,존재
2611010800,부산광역시 중구 중앙동5가,존재
2611010900,부산광역시 중구 중앙동6가,존재
2611011000,부산광역시 중구 중앙동7가,존재
2611011100,부산광역시 중구 동광동1가,존재
2611011200,부산광역시 중구 동광동2가,존재
2611011300,부산광역시 중구 동광동3가,존재
2611011400,부산광역시 중구 동광동4가,존재
2611011500,부산광역시 중구 동광동5가,존재
2611011600,부산광역시 중구 대청동1가,존재
2611011700,부산광역시 중구 대청동2가,존재
2611011800,부산광역시 중구 대청동3가,존재
2611011900,부산광역시 중구 대청동4가,존재
2611012000,부산광역시 중구 보수동1가,존재
2611012100,부산광역시 중구 보수동2가,존재
2611012200,부산광역시 중구 보수동3가,존재
2611012300,부산광역시 중구 부평동1가,존재
2611012400,부산광역시 중구 부평동2가,존재
2611012500,부산광역시 중구 부평동3가,존재
2611012600,부산광역시 중구 부평동4가,존재
2611012700,부산광역시 중구 신창동1가,존재
2611012800,부산광역시 중구 신창동2가,존재
2611012900,부산광역시 중구 신창동3가,존재
2611013000,부산광역시 중구 신창동4가,존재
2611013100,부산광역시 중구 창선동1가,존재
2611013200,부산광역시 중구 창선동2가,존재
2611013300,부산광역시 중구 광복동1가,존재
2611013400,부산광역시 중구 광복동2가,존재
2611013500,부산광역시 중구 광복동3가,존재
2611013600,부산광역시 중구 남포동1가,존재
2611013700,부산광역시 중구 남포동2가,존재
2611013800,부산광역시 중구 남포동3가,존재
2611013900,부산광역시 중구 남포동4가,존재
2611014000,부산광역시 중구 남포동5가,존재
2611014100,부산광역시 중구 남포동6가,존재
2614000000,부산광역시 서구,존재
2614010100,부산광역시 서구 동대신동1가,존재
2614010200,부산광역시 서구 동대신동2가,존재
2614010300,부산광역시 서구 동대신동3가,존재
2614010400,부산광역시 서구 서대신동1가,존재
2614010500,부산광역시 서구 서대신동2가,존재
2614010600,부산광역시 서구 서대신동3가,존재
2614010700,부산광역시 서구 부용동1가,존재
2614010800,부산광역시 서구 부용동2가,존재
2614010900,부산광역시 서구 부민동1가,존재
2614011000,부산광역시 서구 부민동2가,존재
2614011100,부산광역시 서구 부민동3가,존재
2614011200,부산광역시 서구 토성동1가,존재
2614011300,부산광역시 서구 토성동2가,존재
2614011400,부산광역시 서구 토성동3가,존재
2614011500,부산광역시 서구 아미동1가,존재
2614011600,부산광역시 서구 아미동2가,존재
2614011700,부산광역시 서구 토성동4가,존재
2614011800,부산광역시 서구 토성동5가,존재
2614011900,부산광역시 서구 초장동,존재
2614012000,부산광역시 서구 충무동1가,존재
2614012100,부산광역시 서구 충무동2가,존재
2614012200,부산광역시 서구 충무동3가,존재
2614012300,부산광역시 서구 남부민동,존재
2614012400,부산광역시 서구 암남동,존재
2617000000,부산광역시 동구,존재
2617010100,부산광역시 동구 초량동,존재
2617010200,부산광역시 동구 수정동,존재
2617010300,부산광역시 동구 좌천동,존재
2617010400,부산광역시 동구 범일동,존재
2620000000,부산광역시 영도구,존재
2620010100,부산광역시 영도구 대교동1가,존재
2620010200,부산광역시 영도구 대교동2가,존재
2620010300,부산광역시 영도구 대평동1가,존재
2620010400,부산광역시 영도구 대평동2가,존재
2620010500,부산광역시 영도구 남항동1가,존재
2620010600,부산광역시 영도구 남항동2가,존재
2620010700,부산광역시 영도구 남항동3가,존재
2620010800,부산광역시 영도구 영선동1가,존재
2620010900,부산광역시 영도구 영선동2가,존재
2620011000,부산광역시 영도구 영선동3가,존재
2620011100,부산광역시 영도구 영선동4가,존재
2620011200,부산광역시 영도구 신선동1가,존재
